equipment,failure_start,failure_end,maintenance_type,failure_mode,cost,work_order
P-102,2023-01-04 19:08:42,2023-01-05 00:28:17,CORRECTIVE,VIBRATION,3910.31,WO-94664
P-101,2023-01-08 00:56:11,2023-01-09 13:03:28,CORRECTIVE,VIBRATION,3193.96,WO-64886
C-202,2023-01-08 02:18:33,2023-01-08 05:39:48,CORRECTIVE,VIBRATION,2894.51,WO-98869
P-101,2023-01-18 09:33:42,2023-01-18 10:49:33,CORRECTIVE,BEARING_FAIL,2001.69,WO-70263
P-101,2023-02-05 22:04:33,2023-02-05 22:19:31,CORRECTIVE,SENSOR_FAULT,4245.99,WO-77969
P-102,2023-02-06 12:23:48,2023-02-06 13:00:40,CORRECTIVE,SEAL_LEAK,1901.36,WO-88781
P-101,2023-02-08 22:34:11,2023-02-09 01:00:04,CORRECTIVE,SEAL_LEAK,2861.4,WO-35658
C-202,2023-02-15 00:28:11,2023-02-15 01:16:17,CORRECTIVE,SEAL_LEAK,3818.32,WO-20267
C-202,2023-02-16 01:26:38,2023-02-16 02:33:57,CORRECTIVE,BEARING_FAIL,2909.01,WO-14632
P-101,2023-02-16 16:48:54,2023-02-16 17:23:18,CORRECTIVE,SENSOR_FAULT,1547.47,WO-94654
P-101,2023-03-03 04:11:34,2023-03-03 09:58:37,CORRECTIVE,,2600.43,WO-79092
C-201,2023-03-08 12:54:24,2023-03-09 22:52:02,CORRECTIVE,VIBRATION,1613.07,WO-66397
C-203,2023-03-14 15:07:41,2023-03-14 18:51:32,CORRECTIVE,SENSOR_FAULT,3788.9,WO-80792
M-302,2023-03-17 09:27:42,2023-03-17 11:21:58,CORRECTIVE,OVERHEATING,4279.05,WO-95382
P-101,2023-03-17 10:41:49,2023-03-17 12:56:26,CORRECTIVE,SEAL_LEAK,4769.98,WO-83969
P-101,2023-03-24 20:11:32,2023-03-24 20:23:07,CORRECTIVE,SEAL_LEAK,1584.61,WO-33483
M-301,2023-03-26 04:33:05,2023-03-26 07:16:19,CORRECTIVE,VIBRATION,3814.0,WO-54327
P-101,2023-03-26 19:14:25,2023-03-27 03:26:34,CORRECTIVE,SEAL_LEAK,4591.94,WO-77121
C-203,2023-03-26 22:41:20,2023-03-27 02:04:34,CORRECTIVE,SEAL_LEAK,3835.04,WO-53925
C-203,2023-03-29 16:46:31,2023-03-30 03:34:53,CORRECTIVE,VIBRATION,4078.7,WO-40523
C-203,2023-04-08 14:55:03,2023-04-08 16:11:33,CORRECTIVE,SENSOR_FAULT,1560.61,WO-10077
C-201,2023-04-12 06:03:46,2023-04-12 13:00:48,CORRECTIVE,SENSOR_FAULT,3227.79,WO-31949
P-101,2023-04-12 10:29:42,2023-04-12 14:58:39,CORRECTIVE,BEARING_FAIL,2960.2,WO-50757
P-101,2023-04-13 02:25:50,2023-04-14 00:35:39,CORRECTIVE,BEARING_FAIL,2278.18,WO-42606
P-104,2023-05-03 10:26:07,2023-05-03 22:51:46,CORRECTIVE,SEAL_LEAK,3163.5,WO-45909
P-105,2023-05-10 22:48:30,2023-05-11 09:26:03,CORRECTIVE,BEARING_FAIL,4776.85,WO-31447
P-102,2023-05-12 00:20:25,2023-05-12 04:26:29,CORRECTIVE,BEARING_FAIL,3935.14,WO-72752
